"Region","District","District.No.","School.Name","School.No.","NCES.School.No.","Principal","School.Type","Grade.Level","Categories","County","Status","address","Address.1.City","Address.1.State","Address.1.Zipcode","Address.2.Composite","Phone.1","Phone.2","Fax.1","Email.Address","STATEFP","SLDLST","GEOID","GEOIDFQ","NAMELSAD","LSAD","LSY","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"South Central","Bedford County",20,"Eakin Elementary",15,4.70018e+11,"Meredith Gilliland","Public","PK, K, 1, 2, 3, 4, 5","","Bedford","Active","1100  Glenoaks  Road
 Shelbyville, TN 37160","Shelbyville","TN","37160","","931-684-7852",NA,"","gillilandm@bedfordk12tn.net","47","062","47062","620L900US47062","State House District 62","LL","2024","G5220","N",2284921585,6639989,"+35.3897957","-086.4758904"
"Mid Cumberland","Davidson County",190,"Eakin Elementary",195,4.70318e+11,"Dr. Mattie Crumbo","Public","K, 1, 2, 3, 4, 5","","Davidson","Active","2500 Fairfax Avenue
 Nashville, TN 37212","Nashville","TN","37212","","615-298-8076",NA,"","Mattie.Crumbo@mnps.org","47","056","47056","620L900US47056","State House District 56","LL","2024","G5220","N",41781632,0,"+36.1286463","-086.8256819"
"Southeast Tennessee","Hamilton County",330,"East Brainerd Elementary School",62,4.70159e+11,"Hannah Hudson","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","7660 Goodwin Road
 Chattanooga, TN 37421","Chattanooga","TN","37421","","423-855-2600",NA,"423-855-2610","HUDSON_HANNAH@HCDE.ORG","47","030","47030","620L900US47030","State House District 30","LL","2024","G5220","N",147195823,133029,"+35.0072235","-085.1153046"
"Mid Cumberland","Cheatham County",110,"East Cheatham Elementary",15,4.70057e+11,"Layne Cooper","Public","PK, K, 1, 2, 3, 4","","Cheatham","Active","3201  Bearwallow  Road
 Ashland City, TN 37015","Ashland City","TN","37015","","615-746-5251",NA,"","layne.cooper@ccstn.org","47","078","47078","620L900US47078","State House District 78","LL","2024","G5220","N",1286514863,15006404,"+36.2342665","-087.1588644"
"Southwest","Chester County",120,"East Chester Elementary School",15,4.7006e+11,"Paden Buckley","Public","PK, K, 1, 2, 3","","Chester","Active","708 East Main Street
 Henderson, TN 38340","Henderson","TN","38340","","731-989-8145",NA,"731-989-8147","Paden.buckley@chestercountyschools.org","47","072","47072","620L900US47072","State House District 72","LL","2024","G5220","N",4520624558,105252386,"+35.4648491","-088.1766854"
"South Central","Coffee County",160,"East Coffee Elementary",15,4.70078e+11,"Eric Keith","Public","PK, K, 1, 2, 3, 4, 5","","Coffee","Active","6264 Mcminnville Highway
 Manchester, TN 37355","Manchester","TN","37355","","931-723-5185",NA,"","keithe@k12coffee.net","47","047","47047","620L900US47047","State House District 47","LL","2024","G5220","N",2044556199,16234901,"+35.4468744","-085.9202496"
"Southwest","Madison County",570,"East Elementary School",140,4.70258e+11,"Jeanette Coleman","Public","PK, K, 1, 2, 3, 4, 5","","Madison","Active","2480 Ashport Road
 Jackson, TN 38305","Jackson","TN","38305","","731-988-3860",NA,"731-988-3866","jpcoleman@jmcss.org","47","073","47073","620L900US47073","State House District 73","LL","2024","G5220","N",1034793145,3135857,"+35.7026317","-088.7189177"
"Mid Cumberland","Davidson County",190,"East End Preparatory School",8009,4.70318e+11,"Jim Leckrone","Public Charter","K, 1, 2, 3, 4, 5, 6, 7, 8","","Davidson","Active","1460 McGavock Pike
 Nashville, TN 37216","Nashville","TN","37216","","615-630-7470",NA,"","jleckrone@eastendprep.org","47","051","47051","620L900US47051","State House District 51","LL","2024","G5220","N",88776494,3636545,"+36.2050905","-086.7086628"
"Southwest","Hardin County",360,"East Hardin Elementary",19,4.70168e+11,"Mr. Todd Buczynski","Public","PK, 1, 2, 3, 4, 5","","Hardin","Active","100 Freewill Lane
 Savannah, TN 38372","Savannah","TN","38372","","731-926-4620",NA,"","todd.buczynski@hctnschools.com","47","072","47072","620L900US47072","State House District 72","LL","2024","G5220","N",4520624558,105252386,"+35.4648491","-088.1766854"
"Southeast Tennessee","Hamilton County",330,"East Lake Elementary School",63,4.70159e+11,"Jasmine Farrow","Public","PK, K, 1, 2, 3, 4, 5","","Hamilton","Active","3600 13th Avenue
 Chattanooga, TN 37407","Chattanooga","TN","37407","","423-493-0366",NA,"423-493-0370","Farrow_J@hcde.org","47","028","47028","620L900US47028","State House District 28","LL","2024","G5220","N",117682635,6804021,"+35.0527871","-085.2516672"
"South Central","Tullahoma",162,"East Lincoln Elementary",20,4.7042e+11,"Rhonda Stevens","Public","PK, K, 1, 2, 3, 4, 5","","Coffee","Active","700 East Lincoln Street
 Tullahoma, TN 37388","Tullahoma","TN","37388","","931-454-2612",NA,"931-454-2609","rhonda.stevens@tcsedu.net","47","047","47047","620L900US47047","State House District 47","LL","2024","G5220","N",2044556199,16234901,"+35.4468744","-085.9202496"
"Mid Cumberland","Montgomery County",630,"East Montgomery Elementary",45,4.70303e+11,"Cynthia Rogers Kerr","Public","PK, K, 1, 2, 3, 4, 5","","Montgomery","Active","230 McAdoo Creek Road
 Clarksville, TN 37043-7408","Clarksville","TN","37043-7408","","931-358-2868",NA,"931-358-4092","cynthia.kerr@cmcss.net","47","068","47068","620L900US47068","State House District 68","LL","2024","G5220","N",687379698,5721936,"+36.4801881","-087.2801188"
"Southeast Tennessee","Hamilton County",330,"East Ridge Elementary School",65,4.70159e+11,"Dr. Martha McMillan","Public","P3, P4, K, 1, 2, 3, 4, 5","","Hamilton","Active","1014  John  Ross Road
 Chattanooga, TN 37412","Chattanooga","TN","37412","","423-493-9296",NA,"423-493-9298","mcmillan_m@hcde.org","47","030","47030","620L900US47030","State House District 30","LL","2024","G5220","N",147195823,133029,"+35.0072235","-085.1153046"
"Mid Cumberland","Robertson County",740,"East Robertson Elementary",28,4.7036e+11,"Amy Shapton","Public","PK, K, 1, 2, 3, 4, 5","","Robertson","Active","5177  E  Robertson Road
 Cross Plains, TN 37049","Cross Plains","TN","37049","","615-654-3874",NA,"","amy.shapton@rcstn.net","47","066","47066","620L900US47066","State House District 66","LL","2024","G5220","N",1233703852,457701,"+36.5243849","-086.8725935"
"South Central","Bedford County",20,"East Side Elementary",40,4.70018e+11,"Layne Talbott-Draper","Public","PK, K, 1, 2, 3, 4, 5","","Bedford","Active","421  Elliott  Street
 Shelbyville, TN 37160","Shelbyville","TN","37160","","931-684-7112",NA,"","talbottl@bedfordk12tn.net","47","062","47062","620L900US47062","State House District 62","LL","2024","G5220","N",2284921585,6639989,"+35.3897957","-086.4758904"
"First Tennessee","Elizabethton",101,"East Side Elementary",10,4.70111e+11,"Travis Hurley","Public","PK, K, 1, 2, 3, 4, 5","","Carter","Active","800 Siam Road
 Elizabethton, TN 37643","Elizabethton","TN","37643","","423-547-8010",NA,"423-547-8038","Travis.hurley@ecschools.net","47","004","47004","620L900US47004","State House District 4","LL","2024","G5220","N",1023673000,2831965,"+36.2318532","-082.2948946"
"Southeast Tennessee","Hamilton County",330,"East Side Elementary School",78,4.70159e+11,"Greg Wilkey","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","1603 South Lyerly  Street
 Chattanooga, TN 37404","Chattanooga","TN","37404","","423-493-7780",NA,"423-493-7784","Wilkey_Greg@hcde.org","47","028","47028","620L900US47028","State House District 28","LL","2024","G5220","N",117682635,6804021,"+35.0527871","-085.2516672"
"First Tennessee","Greeneville",301,"Eastview Elementary",15,4.7015e+11,"Kelly Ford","Public","PK, K, 1, 2, 3, 4, 5","","Greene","Active","454 East Bernard Avenue
 Greeneville, TN 37745","Greeneville","TN","37745","","423-638-6351",NA,"423-638-2651","fordk@gcschools.net","47","005","47005","620L900US47005","State House District 5","LL","2024","G5220","N",1611409726,5099752,"+36.1794867","-082.8475235"
"First Tennessee","Cocke County",150,"Edgemont Elementary",35,4.70075e+11,"Nathan Chambers","Public","P4, K, 1, 2, 3, 4, 5, 6, 7, 8","","Cocke","Active","375  Carson  Springs Road
 Newport, TN 37821","Newport","TN","37821","","423-623-2288",NA,"423-623-0345","chambersn@cocke.k12.tn.us","47","011","47011","620L900US47011","State House District 11","LL","2024","G5220","N",1617397068,64137300,"+36.0008933","-083.1808193"
"Mid Cumberland","Williamson County",940,"Edmondson Elementary",27,4.70453e+11,"Trent Satterfield","Public","K, 1, 2, 3, 4, 5","","Williamson","Active","851  Edmondson  Pike
 Brentwood, TN 37027","Brentwood","TN","37027","","615-472-4360",NA,"615-472-4371","trents@wcs.edu","47","063","47063","620L900US47063","State House District 63","LL","2024","G5220","N",448755151,270204,"+35.8706934","-086.7189208"
"East Tennessee","Union County",870,"Elementary Middle Alternative",65,4.70429e+11,"Jeremiah Epperson","Public","K, 1, 2, 3, 4, 5, 6, 7, 8","","Union","Active","635 Main
 Maynardville, TN 37807","Maynardville","TN","37807","P. O. Box 10
 Maynardville, TN 37807","865-745-0253",NA,"865-745-0753","eppersonj@ucps.org","47","036","47036","620L900US47036","State House District 36","LL","2024","G5220","N",2363820634,114428203,"+36.3981020","-083.9897140"
"East Tennessee","Claiborne County",130,"Ellen Myers Primary",45,4.70063e+11,"Kayla Barnard","Public","PK, K, 1, 2, 3, 4","","Claiborne","Active","275  Nettleton  Road
 Harrogate, TN 37752","Harrogate","TN","37752","","423-869-2172",NA,"423-869-0353","kayla.barnard@claibornecsd.org","47","009","47009","620L900US47009","State House District 9","LL","2024","G5220","N",2177221806,44007703,"+36.4733995","-083.1967219"
"Mid Cumberland","Wilson County",950,"Elzie D Patton Elementary School",90,4.70455e+11,"Mary Holland","Public","P3, P4, K, 1, 2, 3, 4, 5","","Wilson","Active","1003 Woodridge Place
 Mt. Juliet, TN 37122","Mt. Juliet","TN","37122","","615-773-9630",NA,"","hollamar100@wcschools.com","47","057","47057","620L900US47057","State House District 57","LL","2024","G5220","N",283234558,13255094,"+36.1929972","-086.4971043"
"Southwest","Memphis-Shelby County Private Schools",9792,"Emanuel United Methodist Kindergarten",9310,NA,"Maribeth Jeffreys","Private","PK, K","Category I - Approved by TDOE","Shelby","Active","2404 Kirby Road
 Memphis, TN 38119","Memphis","TN","38119","","901-754-3607",NA,"901-754-6128","mjeffreys@emmanuelmemphis.org","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"East Tennessee","Knox County",470,"Emerald Academy",8001,4.70222e+11,"Carlissa Weeks","Public Charter","K, 1, 2, 3, 4, 5, 6, 7, 8","","Knox","Active","220 Carrick Street
 Knoxville, TN 37921","Knoxville","TN","37921","220 Carrick Street
 Knoxville, TN 37921","865-637-3227",NA,"","carlissa.weeks@emeraldcharterschools.org","47","015","47015","620L900US47015","State House District 15","LL","2024","G5220","N",75485603,3252253,"+35.9709327","-083.8938868"
"Mid Cumberland","Tennessee Public Charter School Commission",987,"Empower Memphis Career and College Prep",8026,NA,"Muna Olaniyi","Public Charter","K, 1, 2","","Shelby","Active","4775 American Way
 Memphis, TN 38118","Memphis","TN","38118","","901-877-4296",NA,"","molaniyi@empowercareerandcollegeprep.org","47","087","47087","620L900US47087","State House District 87","LL","2024","G5220","N",61929296,0,"+35.0590335","-089.9644571"
"Mid Cumberland","Tennessee Public Charter School Commission",987,"Encompass Community School",8027,NA,"Megan Garry","Public Charter","K, 1, 2, 3","","Davidson","Active","4300 Park Avenue
 Nashville, TN 37209","Nashville","TN","37209","","629-309-6112",NA,"","info@encompassnashville.org","47","056","47056","620L900US47056","State House District 56","LL","2024","G5220","N",41781632,0,"+36.1286463","-086.8256819"
"Southwest","Collierville Private Schools",9795,"Endeavor Microschool",9950,NA,"Ryan Durfee","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category V - Acknowledged by TDOE for operation","Shelby","Active","707 New Byhalia Road
 Collierville, TN 38017","Collierville","TN","38017","","901-492-1061",NA,"","ryan@endeavormicroschool.com","47","095","47095","620L900US47095","State House District 95","LL","2024","G5220","N",213581882,499259,"+35.1066180","-089.6836612"
"Southeast Tennessee","McMinn County",540,"Englewood Elementary",30,4.70282e+11,"Kristie Darnell","Public","P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8","","McMinn","Active","108 College Street
 Englewood, TN 37329","Englewood","TN","37329","","423-887-5260",NA,"423-887-7327","kdarnell@mcminnschools.com","47","023","47023","620L900US47023","State House District 23","LL","2024","G5220","N",2240224605,26511332,"+35.4105818","-084.4045539"
"Mid Cumberland","Davidson County Private Schools",9190,"Ensworth School: Lower/Middle School Red Gables Campus",9120,NA,"Prentice Stabler","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency, Category III - Approved by regional private school accrediting agency","Davidson","Active","211 Ensworth Avenue
 Nashville, TN 37205","Nashville","TN","37205","","615-383-0661",NA,"","stablerp@ensworth.com","47","056","47056","620L900US47056","State House District 56","LL","2024","G5220","N",41781632,0,"+36.1286463","-086.8256819"
"Mid Cumberland","Davidson County Private Schools",9190,"Episcopal School of Nashville",9788,NA,"James Jordan","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Davidson","Active","1310 Ordway Place
 Nashville, TN 37206","Nashville","TN","37206","PO Box 68391 Street
 Nashville, TN 37206","615-928-6811",NA,"","james.jordan@esnashville.org","47","051","47051","620L900US47051","State House District 51","LL","2024","G5220","N",88776494,3636545,"+36.2050905","-086.7086628"
"Mid Cumberland","Murfreesboro",751,"Erma Siegel Elementary",18,4.70315e+11,"Ms. Emily Spencer","Public","PK, K, 1, 2, 3, 4, 5","","Rutherford","Active","135  W  Thompson Lane
 Murfreesboro, TN 37129","Murfreesboro","TN","37129","","615-904-1002",NA,"615-904-1007","emily.spencer@cityschools.net","47","037","47037","620L900US47037","State House District 37","LL","2024","G5220","N",194865365,10283706,"+35.9614893","-086.4341874"
"Southwest","Lexington Private Schools",9391,"Esther's Montessori School",9712,NA,"Alethea Melton","Private","PK, K","Category I - Approved by TDOE","Henderson","Active","67 B West Church Street
 Lexington, TN 38351","Lexington","TN","38351","","731-602-0292",NA,"731-967-1221","aletheamelton@yahoo.com","47","079","47079","620L900US47079","State House District 79","LL","2024","G5220","N",2593354754,16393196,"+35.8910245","-088.5744112"
"South Central","Lawrence County",500,"Ethridge Elementary",20,4.70234e+11,"Christy Crews","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","","Lawrence","Active","33  Main  Street
 Ethridge, TN 38456","Ethridge","TN","38456","","931-201-5880",NA,"931-201-5882","christy.crews@lcss.us","47","071","47071","620L900US47071","State House District 71","LL","2024","G5220","N",3612610291,8528674,"+35.3439808","-087.5890742"
"Southwest","Germantown Private Schools",9796,"Evangelical Christian School - Lower School",9031,NA,"Ashley Colley","Private","PK, K, 1, 2, 3, 4, 5","Category II - Approved by private school accrediting agency, Category III - Approved by regional private school accrediting agency","Shelby","Active","1920 Forest Hill Irene Road
 Germantown, TN 38139","Germantown","TN","38139","","901-754-4420",NA,"901-751-6782","acolley@ecseagles.com","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"Southwest","Memphis-Shelby County Schools",792,"Evans Elementary",2185,4.70015e+11,"Monica Owens","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","4949 Cottonwood Rd
 Memphis, TN 38118-2606","Memphis","TN","38118-2606","","901-416-2504",NA,"901-416-8475","powellmr@scsk12.org","47","087","47087","620L900US47087","State House District 87","LL","2024","G5220","N",61929296,0,"+35.0590335","-089.9644571"
"Southwest","Memphis-Shelby County Schools",792,"Exceptional Children Special Placements",2700,4.70015e+11,"Deborah Harris","Public","PS, P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","","Shelby","Active","160 S Hollywood
 Memphis, TN 38112","Memphis","TN","38112","","901-416-5600",NA,"","harrisdg@scsk12.org","47","093","47093","620L900US47093","State House District 93","LL","2024","G5220","N",53642184,0,"+35.1596028","-089.9534558"
"Upper Cumberland","Putnam County Private Schools",9710,"Exodus Christian Academy",9910,NA,"Jami Thornsberry","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Putnam","Active","402 N. Walnut Avenue
 Cookeville, TN 38501","Cookeville","TN","38501","","931-316-1240",NA,"","exoduschristianacademy@gmail.com","47","042","47042","620L900US47042","State House District 42","LL","2024","G5220","N",694817936,2997540,"+36.1506277","-085.5921948"
"Mid Cumberland","Davidson County",190,"Explore Community School",8060,4.70318e+11,"Cameron Gish","Public Charter","K, 1, 2, 3, 4, 5, 6, 7, 8","","Davidson","Active","707 S 7th Street
 Nashville, TN 37206","Nashville","TN","37206","","615-784-8222",NA,"","cgish@explore.school.org","47","058","47058","620L900US47058","State House District 58","LL","2024","G5220","N",49471459,1796405,"+36.1752081","-086.7965741"
"Upper Cumberland","Warren County Private Schools",9890,"F.C. Boyd, Sr. Christian Academy",9005,NA,"Donna Newby","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Warren","Active","806 Morrison Road
 McMinnville, TN 37110","McMinnville","TN","37110","806 Morrison Road
 McMinnville, TN 37110","931-473-9631",NA,"","dnewby@fcbcs.org","47","043","47043","620L900US47043","State House District 43","LL","2024","G5220","N",2096211277,10638251,"+35.7961701","-085.6296824"
"Upper Cumberland","Macon County",560,"Fairlane Elementary",15,4.70255e+11,"Kendra Garmon","Public","P3, P4, K, 1","","Macon","Active","305  Fairlane  Drive
 Lafayette, TN 37083","Lafayette","TN","37083","305 Fairlane Drive
 Lafayette, TN 37083","615-666-2970",NA,"615-666-7477","garmonk@maconcountyschools.org","47","038","47038","620L900US47038","State House District 38","LL","2024","G5220","N",3951796164,92346855,"+36.4941346","-085.1164257"
"First Tennessee","Bristol",821,"Fairmount Elementary",20,4.70036e+11,"Trey Arrington","Public","PK, K, 1, 2, 3, 4, 5","","Sullivan","Active","821 Virginia Avenue
 Bristol, TN 37620","Bristol","TN","37620","821 Virginia Avenue
 Bristol, TN 37620","423-652-9311",NA,"423-652-9436","arringtont@btcs.org","47","001","47001","620L900US47001","State House District 1","LL","2024","G5220","N",384127158,16609030,"+36.5605034","-082.2082526"
"East Tennessee","Scott County",760,"Fairview Elementary",8,4.70372e+11,"Scott Cash","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","","Scott","Active","8702 Baker Highway
 Huntsville, TN 37756","Huntsville","TN","37756","8702 Baker Highway
 Huntsville, TN 37756","423-663-3700",NA,"423-663-4447","Scott.cash@scottcounty.net","47","038","47038","620L900US47038","State House District 38","LL","2024","G5220","N",3951796164,92346855,"+36.4941346","-085.1164257"
"First Tennessee","Hamblen County",320,"Fairview Marguerite",10,4.7e+11,"Eric Langhans","Public","K, 1, 2, 3, 4, 5","","Hamblen","Active","2125  Fairview  Road
 Morristown, TN 37814","Morristown","TN","37814","","423-586-4098",NA,"423-585-3746","langhanse@hcboe.net","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"Upper Cumberland","Putnam County Private Schools",9710,"Faith Bible Holiness Academy",9785,NA,"Holly Leonard","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Putnam","Active","605 S. Pine Street
 Monterey, TN 38574","Monterey","TN","38574","605 S Pine Street
 Monterey, TN 38574","931-839-6268",NA,"","jeffleonard@emypeople.net","47","025","47025","620L900US47025","State House District 25","LL","2024","G5220","N",2108624116,9872300,"+35.9789767","-085.0468013"
"Upper Cumberland","Fentress County Private Schools",9250,"Faith Christian Academy",9315,NA,"Jane Smith","Private","PK, K, 1, 2, 3, 4, 5, 6, 7","Category IV - Church Related Schools","Fentress","Active","627 South Main Street
 Jamestown, TN 38556","Jamestown","TN","38556","P.O. Box 313 Street
 Jamestown, TN 38556","931-879-9137",NA,"931-879-5077","JHS@teacher.com","47","041","47041","620L900US47041","State House District 41","LL","2024","G5220","N",3433702932,10144715,"+36.2269633","-084.8410320"
"First Tennessee","Hamblen County Private Schools",9320,"Faith Christian Academy",9021,NA,"Joann Lamb","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Hamblen","Active","1826 Ivy Lane
 Morristown, TN 37814","Morristown","TN","37814","","423-587-3060",NA,"","fca@musfiber.com","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"Southwest","Bartlett Private Schools",9794,"Faith Christian Academy",9836,NA,"Stephanie Wilkinson","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category V - Acknowledged by TDOE for operation","Shelby","Active","9114 Davies Plantation Road
 Bartlett, TN 38133","Bartlett","TN","38133","","",NA,"","swilkinson@faithchristianacademytn.org","47","095","47095","620L900US47095","State House District 95","LL","2024","G5220","N",213581882,499259,"+35.1066180","-089.6836612"
"Southeast Tennessee","Cleveland Private Schools",9061,"Faith Haven Christian Academy",9814,NA,"Ramona Kim","Private","PS, PK, K, 1, 2, 3, 4, 5","Category II - Approved by private school accrediting agency","Bradley","Active","4995 North Lee Highway
 Cleveland, TN 37312","Cleveland","TN","37312","","423-464-5158",NA,"423-790-5912","faithhavenacademy2019@gmail.com","47","024","47024","620L900US47024","State House District 24","LL","2024","G5220","N",228099043,137071,"+35.1738860","-084.9082038"
"Upper Cumberland","Grundy County Private Schools",9310,"Faith Missionary Academy",9026,NA,"Stacey D. Smith","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Grundy","Active","511 Red Barn Road
 Gruetli-Laager, TN 37339","Gruetli-Laager","TN","37339","","931-779-3338",NA,"","info@faithmissionaryacademy.com","47","047","47047","620L900US47047","State House District 47","LL","2024","G5220","N",2044556199,16234901,"+35.4468744","-085.9202496"
"Mid Cumberland","Davidson County",190,"Fall-Hamilton Elementary",220,4.70318e+11,"Dr. Karen Bacigalupo","Public","PK, K, 1, 2, 3, 4, 5","","Davidson","Active","510  Wedgewood  Avenue
 Nashville, TN 37203","Nashville","TN","37203","","615-291-6380",NA,"","Karen.Bacigalupo@mnps.org","47","058","47058","620L900US47058","State House District 58","LL","2024","G5220","N",49471459,1796405,"+36.1752081","-086.7965741"
"East Tennessee","Knox County Private Schools",9470,"Family Christian Academy of East Tennessee",9032,NA,"Linda Napier","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Knox","Active","124 East Inskip Drive
 Knoxville, TN 37919","Knoxville","TN","37919","","865-689-1313",NA,"","","47","090","47090","620L900US47090","State House District 90","LL","2024","G5220","N",71966071,15962,"+35.9802178","-083.9773885"
"Southwest","Madison County Private Schools",9570,"Family Christian School",9004,NA,"Haley Smith","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency","Madison","Active","535 Denmark Jackson Road
 Denmark, TN 38391","Denmark","TN","38391","P.O. Box 11535
 Denmark, TN 38391","731-300-3385",NA,"731-421-1513","haley.smith@fcsofjackson.org","47","080","47080","620L900US47080","State House District 80","LL","2024","G5220","N",2310259997,5874258,"+35.3105406","-089.0290715"
"Southwest","Germantown",796,"Farmington Elementary School",100,4.70015e+11,"Ashley Brasfield","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","2085 Cordes Road
 Germantown, TN 38138","Germantown","TN","38138","","901-756-2320",NA,"901-756-2308","ashley.brasfield@gmsdk12.org","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"Northwest Tennessee","Dyer County",230,"Fifth Consolidated School",20,4.70105e+11,"Lou Ann Peery","Public","P4, K, 1, 2, 3, 4, 5","","Dyer","Active","2150 Millsfield Highway
 Dyersburg, TN 38024","Dyersburg","TN","38024","2150 Millsfield Highway
 Dyersburg, TN 38024","731-285-2840",NA,"731-285-2915","louannpeery@dcchoctaws.net","47","077","47077","620L900US47077","State House District 77","LL","2024","G5220","N",2742420090,132407217,"+36.2190955","-089.3517172"
"Upper Cumberland","White County",930,"Findlay Elementary",35,4.7045e+11,"Rebecca Ryan","Public","PK, K, 1, 2, 3, 4, 5","","White","Active","560 Hale Street
 Sparta, TN 38583-1399","Sparta","TN","38583-1399","","931-738-2412",NA,"931-738-3007","rebecca.ryan@whitecoschools.net","47","043","47043","620L900US47043","State House District 43","LL","2024","G5220","N",2096211277,10638251,"+35.7961701","-085.6296824"
"Southwest","Memphis-Shelby County Private Schools",9792,"First Assembly Christian School",9782,NA,"Bryan Sanders","Private","P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Shelby","Active","8650 Walnut Grove Road
 Cordova, TN 38018","Cordova","TN","38018","8650 Walnut Grove Road
 Cordova, TN 38018","901-458-5543",NA,"901-324-3558","bsanders@facsmemphis.org","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"East Tennessee","Knox County Private Schools",9470,"First Baptist Academy",9016,NA,"James Armistead","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category II - Approved by private school accrediting agency, Category III - Approved by regional private school accrediting agency, Category IV - Church Related Schools","Knox","Active","7706 Ewing Road
 Powell, TN 37849","Powell","TN","37849","","865-947-8503",NA,"800-961-6565","jamesarmistead@fbaeagles.org","47","016","47016","620L900US47016","State House District 16","LL","2024","G5220","N",150670626,3662,"+36.0652815","-083.9866763"
"East Tennessee","Knox County Private Schools",9470,"First Baptist Academy: Umbrella",9904,NA,"DeAnna Gibson","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Knox","Active","7706 Ewing Road
 Powell, TN 37849-3852","Powell","TN","37849-3852","","865-947-8503",NA,"","deannagibson@firstbaptistacademy.us","47","016","47016","620L900US47016","State House District 16","LL","2024","G5220","N",150670626,3662,"+36.0652815","-083.9866763"
"East Tennessee","Knox County Private Schools",9470,"First Lutheran School",9015,NA,"Roger Tessendorf","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category I - Approved by TDOE","Knox","Active","1207 Broadway N E
 Knoxville, TN 37917","Knoxville","TN","37917","1207 Broadway N E
 Knoxville, TN 37917","865-524-0308",NA,"","rtessendorf@firstlutheranschool.com","47","090","47090","620L900US47090","State House District 90","LL","2024","G5220","N",71966071,15962,"+35.9802178","-083.9773885"
"South Central","Lincoln County",520,"Flintville School",45,4.70249e+11,"David Golden","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","","Lincoln","Active","37 Flintville School Road
 Flintville, TN 37335","Flintville","TN","37335","","931-937-8271",NA,"","dgolden@lcdoe.org","47","070","47070","620L900US47070","State House District 70","LL","2024","G5220","N",3333662205,1608701,"+35.1535527","-087.0422799"
"East Tennessee","Maryville",52,"Foothills Elementary",30,4.7027e+11,"Kristin Bosco","Public","K, 1, 2, 3","","Blount","Active","520 Sandy Springs Road
 Maryville, TN 37803","Maryville","TN","37803","","865-681-0364",NA,"865-681-0366","kristin.bosco@maryville-schools.org","47","020","47020","620L900US47020","State House District 20","LL","2024","G5220","N",307692224,11407469,"+35.7545814","-084.0611095"
"Southwest","Memphis-Shelby County Schools",792,"Ford Road Elementary",2210,4.70015e+11,"Anniece Gentry","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","3336 Ford Rd
 Memphis, TN 38109-3230","Memphis","TN","38109-3230","","901-416-8150",NA,"901-416-8156","gentryam@scsk12.org","47","086","47086","620L900US47086","State House District 86","LL","2024","G5220","N",521789730,68410759,"+35.2848704","-090.1039871"
