Region,District,District No.,School Name,School No.,NCES School No.,Principal,School Type,Grade Level,Categories,County,Status,address,Address 1 City,Address 1 State,Address 1 Zipcode,Address 2 Composite,Phone 1,Phone 2,Fax 1,Email Address
Mid Cumberland,Tennessee Public Charter School Commission,00987,Empower Memphis Career and College Prep,8026,,Muna Olaniyi,Public Charter,"K, 1, 2",,Shelby,Active,"4775 American Way
 Memphis, TN 38118",Memphis,TN,38118,,901-877-4296,,,molaniyi@empowercareerandcollegeprep.org
Mid Cumberland,Tennessee Public Charter School Commission,00987,Encompass Community School,8027,,Megan Garry,Public Charter,"K, 1, 2, 3",,Davidson,Active,"4300 Park Avenue
 Nashville, TN 37209",Nashville,TN,37209,,629-309-6112,,,info@encompassnashville.org
Southwest,Collierville Private Schools,09795,Endeavor Microschool,9950,,Ryan Durfee,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category V - Acknowledged by TDOE for operation,Shelby,Active,"707 New Byhalia Road
 Collierville, TN 38017",Collierville,TN,38017,,901-492-1061,,,ryan@endeavormicroschool.com
Southeast Tennessee,McMinn County,00540,Englewood Elementary,0030,4.70282E+11,Kristie Darnell,Public,"P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,McMinn,Active,"108 College Street
 Englewood, TN 37329",Englewood,TN,37329,,423-887-5260,,423-887-7327,kdarnell@mcminnschools.com
Mid Cumberland,Davidson County Private Schools,09190,Ensworth School: Lower/Middle School Red Gables Campus,9120,,Prentice Stabler,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency, Category III - Approved by regional private school accrediting agency",Davidson,Active,"211 Ensworth Avenue
 Nashville, TN 37205",Nashville,TN,37205,,615-383-0661,,,stablerp@ensworth.com
Mid Cumberland,Davidson County Private Schools,09190,Episcopal School of Nashville,9788,,James Jordan,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"1310 Ordway Place
 Nashville, TN 37206",Nashville,TN,37206,"PO Box 68391 Street
 Nashville, TN 37206",615-928-6811,,,james.jordan@esnashville.org
Mid Cumberland,Murfreesboro,00751,Erma Siegel Elementary,0018,4.70315E+11,Ms. Emily Spencer,Public,"PK, K, 1, 2, 3, 4, 5",,Rutherford,Active,"135  W  Thompson Lane
 Murfreesboro, TN 37129",Murfreesboro,TN,37129,,615-904-1002,,615-904-1007,emily.spencer@cityschools.net
Southwest,Lexington Private Schools,09391,Esther's Montessori School,9712,,Alethea Melton,Private,"PK, K",Category I - Approved by TDOE,Henderson,Active,"67 B West Church Street
 Lexington, TN 38351",Lexington,TN,38351,,731-602-0292,,731-967-1221,aletheamelton@yahoo.com
South Central,Lawrence County,00500,Ethridge Elementary,0020,4.70234E+11,Christy Crews,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Lawrence,Active,"33  Main  Street
 Ethridge, TN 38456",Ethridge,TN,38456,,931-201-5880,,931-201-5882,christy.crews@lcss.us
Southwest,Germantown Private Schools,09796,Evangelical Christian School - Lower School,9031,,Ashley Colley,Private,"PK, K, 1, 2, 3, 4, 5","Category II - Approved by private school accrediting agency, Category III - Approved by regional private school accrediting agency",Shelby,Active,"1920 Forest Hill Irene Road
 Germantown, TN 38139",Germantown,TN,38139,,901-754-4420,,901-751-6782,acolley@ecseagles.com
Southwest,Memphis-Shelby County Schools,00792,Evans Elementary,2185,4.70015E+11,Monica Owens,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"4949 Cottonwood Rd
 Memphis, TN 38118-2606",Memphis,TN,38118-2606,,901-416-2504,,901-416-8475,powellmr@scsk12.org
Southwest,Memphis-Shelby County Schools,00792,Exceptional Children Special Placements,2700,4.70015E+11,Deborah Harris,Public,"PS, P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Shelby,Active,"160 S Hollywood
 Memphis, TN 38112",Memphis,TN,38112,,901-416-5600,,,harrisdg@scsk12.org
Upper Cumberland,Putnam County Private Schools,09710,Exodus Christian Academy,9910,,Jami Thornsberry,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Putnam,Active,"402 N. Walnut Avenue
 Cookeville, TN 38501",Cookeville,TN,38501,,931-316-1240,,,exoduschristianacademy@gmail.com
Mid Cumberland,Davidson County,00190,Explore Community School,8060,4.70318E+11,Cameron Gish,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Davidson,Active,"707 S 7th Street
 Nashville, TN 37206",Nashville,TN,37206,,615-784-8222,,,cgish@explore.school.org
Upper Cumberland,Warren County Private Schools,09890,"F.C. Boyd, Sr. Christian Academy",9005,,Donna Newby,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Warren,Active,"806 Morrison Road
 McMinnville, TN 37110",McMinnville,TN,37110,"806 Morrison Road
 McMinnville, TN 37110",931-473-9631,,,dnewby@fcbcs.org
Upper Cumberland,Macon County,00560,Fairlane Elementary,0015,4.70255E+11,Kendra Garmon,Public,"P3, P4, K, 1",,Macon,Active,"305  Fairlane  Drive
 Lafayette, TN 37083",Lafayette,TN,37083,"305 Fairlane Drive
 Lafayette, TN 37083",615-666-2970,,615-666-7477,garmonk@maconcountyschools.org
First Tennessee,Bristol,00821,Fairmount Elementary,0020,4.70036E+11,Trey Arrington,Public,"PK, K, 1, 2, 3, 4, 5",,Sullivan,Active,"821 Virginia Avenue
 Bristol, TN 37620",Bristol,TN,37620,"821 Virginia Avenue
 Bristol, TN 37620",423-652-9311,,423-652-9436,arringtont@btcs.org
East Tennessee,Scott County,00760,Fairview Elementary,0008,4.70372E+11,Scott Cash,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Scott,Active,"8702 Baker Highway
 Huntsville, TN 37756",Huntsville,TN,37756,"8702 Baker Highway
 Huntsville, TN 37756",423-663-3700,,423-663-4447,Scott.cash@scottcounty.net
First Tennessee,Hamblen County,00320,Fairview Marguerite,0010,4.7E+11,Eric Langhans,Public,"K, 1, 2, 3, 4, 5",,Hamblen,Active,"2125  Fairview  Road
 Morristown, TN 37814",Morristown,TN,37814,,423-586-4098,,423-585-3746,langhanse@hcboe.net
Upper Cumberland,Putnam County Private Schools,09710,Faith Bible Holiness Academy,9785,,Holly Leonard,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Putnam,Active,"605 S. Pine Street
 Monterey, TN 38574",Monterey,TN,38574,"605 S Pine Street
 Monterey, TN 38574",931-839-6268,,,jeffleonard@emypeople.net
Upper Cumberland,Fentress County Private Schools,09250,Faith Christian Academy,9315,,Jane Smith,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7",Category IV - Church Related Schools,Fentress,Active,"627 South Main Street
 Jamestown, TN 38556",Jamestown,TN,38556,"P.O. Box 313 Street
 Jamestown, TN 38556",931-879-9137,,931-879-5077,JHS@teacher.com
First Tennessee,Hamblen County Private Schools,09320,Faith Christian Academy,9021,,Joann Lamb,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Hamblen,Active,"1826 Ivy Lane
 Morristown, TN 37814",Morristown,TN,37814,,423-587-3060,,,fca@musfiber.com
Southwest,Bartlett Private Schools,09794,Faith Christian Academy,9836,,Stephanie Wilkinson,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category V - Acknowledged by TDOE for operation,Shelby,Active,"9114 Davies Plantation Road
 Bartlett, TN 38133",Bartlett,TN,38133,,,,,swilkinson@faithchristianacademytn.org
Southeast Tennessee,Cleveland Private Schools,09061,Faith Haven Christian Academy,9814,,Ramona Kim,Private,"PS, PK, K, 1, 2, 3, 4, 5",Category II - Approved by private school accrediting agency,Bradley,Active,"4995 North Lee Highway
 Cleveland, TN 37312",Cleveland,TN,37312,,423-464-5158,,423-790-5912,faithhavenacademy2019@gmail.com
Upper Cumberland,Grundy County Private Schools,09310,Faith Missionary Academy,9026,,Stacey D. Smith,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Grundy,Active,"511 Red Barn Road
 Gruetli-Laager, TN 37339",Gruetli-Laager,TN,37339,,931-779-3338,,,info@faithmissionaryacademy.com
Mid Cumberland,Davidson County,00190,Fall-Hamilton Elementary,0220,4.70318E+11,Dr. Karen Bacigalupo,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"510  Wedgewood  Avenue
 Nashville, TN 37203",Nashville,TN,37203,,615-291-6380,,,Karen.Bacigalupo@mnps.org
East Tennessee,Knox County Private Schools,09470,Family Christian Academy of East Tennessee,9032,,Linda Napier,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Knox,Active,"124 East Inskip Drive
 Knoxville, TN 37919",Knoxville,TN,37919,,865-689-1313,,,
Southwest,Madison County Private Schools,09570,Family Christian School,9004,,Haley Smith,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency",Madison,Active,"535 Denmark Jackson Road
 Denmark, TN 38391",Denmark,TN,38391,"P.O. Box 11535
 Denmark, TN 38391",731-300-3385,,731-421-1513,haley.smith@fcsofjackson.org
Southwest,Germantown,00796,Farmington Elementary School,0100,4.70015E+11,Ashley Brasfield,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"2085 Cordes Road
 Germantown, TN 38138",Germantown,TN,38138,,901-756-2320,,901-756-2308,ashley.brasfield@gmsdk12.org
Northwest Tennessee,Dyer County,00230,Fifth Consolidated School,0020,4.70105E+11,Lou Ann Peery,Public,"P4, K, 1, 2, 3, 4, 5",,Dyer,Active,"2150 Millsfield Highway
 Dyersburg, TN 38024",Dyersburg,TN,38024,"2150 Millsfield Highway
 Dyersburg, TN 38024",731-285-2840,,731-285-2915,louannpeery@dcchoctaws.net
Upper Cumberland,White County,00930,Findlay Elementary,0035,4.7045E+11,Rebecca Ryan,Public,"PK, K, 1, 2, 3, 4, 5",,White,Active,"560 Hale Street
 Sparta, TN 38583-1399",Sparta,TN,38583-1399,,931-738-2412,,931-738-3007,rebecca.ryan@whitecoschools.net
Southwest,Memphis-Shelby County Private Schools,09792,First Assembly Christian School,9782,,Bryan Sanders,Private,"P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Shelby,Active,"8650 Walnut Grove Road
 Cordova, TN 38018",Cordova,TN,38018,"8650 Walnut Grove Road
 Cordova, TN 38018",901-458-5543,,901-324-3558,bsanders@facsmemphis.org
East Tennessee,Knox County Private Schools,09470,First Baptist Academy,9016,,James Armistead,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category II - Approved by private school accrediting agency, Category III - Approved by regional private school accrediting agency, Category IV - Church Related Schools",Knox,Active,"7706 Ewing Road
 Powell, TN 37849",Powell,TN,37849,,865-947-8503,,800-961-6565,jamesarmistead@fbaeagles.org
East Tennessee,Knox County Private Schools,09470,First Baptist Academy: Umbrella,9904,,DeAnna Gibson,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Knox,Active,"7706 Ewing Road
 Powell, TN 37849-3852",Powell,TN,37849-3852,,865-947-8503,,,deannagibson@firstbaptistacademy.us
East Tennessee,Knox County Private Schools,09470,First Lutheran School,9015,,Roger Tessendorf,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Knox,Active,"1207 Broadway N E
 Knoxville, TN 37917",Knoxville,TN,37917,"1207 Broadway N E
 Knoxville, TN 37917",865-524-0308,,,rtessendorf@firstlutheranschool.com
South Central,Lincoln County,00520,Flintville School,0045,4.70249E+11,David Golden,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Lincoln,Active,"37 Flintville School Road
 Flintville, TN 37335",Flintville,TN,37335,,931-937-8271,,,dgolden@lcdoe.org
East Tennessee,Maryville,00052,Foothills Elementary,0030,4.7027E+11,Kristin Bosco,Public,"K, 1, 2, 3",,Blount,Active,"520 Sandy Springs Road
 Maryville, TN 37803",Maryville,TN,37803,,865-681-0364,,865-681-0366,kristin.bosco@maryville-schools.org
Southwest,Memphis-Shelby County Schools,00792,Ford Road Elementary,2210,4.70015E+11,Anniece Gentry,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"3336 Ford Rd
 Memphis, TN 38109-3230",Memphis,TN,38109-3230,,901-416-8150,,901-416-8156,gentryam@scsk12.org
Upper Cumberland,Smith County,00800,Forks River Elementary,0020,4.70387E+11,Leslie Pope,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Smith,Active,"611  Cookeville  Highway
 Elmwood, TN 38560",Elmwood,TN,38560,,615-897-2676,,615-897-2676,popel@smithcoedu.net
Southeast Tennessee,Hamilton County Private Schools,09330,Foundations School: Foundations Academy K-2 and Foundations Preschool PreK,9848,,Robert Benoun,Private,"PK, K, 1, 2",Category IV - Church Related Schools,Hamilton,Active,"3415 Broad Street
 Chattanooga, TN 37409",Chattanooga,TN,37409,,423-633-9150,,,Connie@fpchatt.com
Southwest,Memphis-Shelby County Schools,00792,Fox Meadows Elementary,2215,4.70015E+11,Tameka Allen,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"2960 Emerald St
 Memphis, TN 38115-2305",Memphis,TN,38115-2305,,901-416-2530,,901-413-2550,allentnm@scsk12.org
Mid Cumberland,Williamson County Private Schools,09940,Franklin Christian Academy - Umbrella Program,9130,,Rachel Harris,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Williamson,Active,"818 Old Charlotte Pike East
 Franklin, TN 37066",Franklin,TN,37066,"PO Box 157
 Franklin, TN 37065",615-599-9229,,,umbrella@franklinchristianacademy.org
South Central,Franklin County,00260,Franklin County Virtual and Alternative Learning School,0053,,Rachel Shields,Public Virtual School,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Franklin,Active,"1025 Dinah Shore Blvd
 Winchester, TN 37398",Winchester,TN,37398,,931-967-7532,,,rachel.shields@fcstn.net
Mid Cumberland,Franklin SSD,00941,Franklin Elementary,0010,4.70126E+11,April Carrigan,Public,"PK, K, 1, 2, 3, 4",,Williamson,Active,"1501 Figuers Drive
 Franklin, TN 37064",Franklin,TN,37064,,615-794-1187,,615-591-2800,carriganapr@fssd.org
Mid Cumberland,Davidson County Private Schools,09190,Franklin Road Academy,9075,,Sean Casey,Private,"PS, P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Davidson,Active,"4700 Franklin Pike
 Nashville, TN 37220",Nashville,TN,37220,"4700 Franklin Road
 Nashville, TN 37220",615-832-8845,,615-834-4167,caseys@franklinroadacademy.com
Southwest,Memphis-Shelby County Schools,00792,Frayser-Corning Elementary,0101,4.70015E+11,Dr. DeAngela Graham,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Shelby,Active,"1602 Dellwood Avenue
 Memphis, TN 38127",Memphis,TN,38127,,901-416-5300,,901-416-4836,
Southeast Tennessee,Rhea County,00720,Frazier Elementary,0010,4.70351E+11,Ansley Massengill,Public,"K, 1, 2, 3, 4, 5",,Rhea,Active,"3900  Double  S Road
 Dayton, TN 37321",Dayton,TN,37321,,423-775-7854,,423-775-6754,massengilla@rheacounty.org
Southwest,Memphis-Shelby County Schools,00792,Freedom Prep Elementary - Millbranch,8155,4.70015E+11,Shayla Morgan,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"3750 Millbranch Road
 Memphis, TN 38116",Memphis,TN,38116,"964 Fields Road
 Memphis, TN 38109",901-538-9500,,901-259-5950,smorgan@freedomprep.org
Southwest,Memphis-Shelby County Schools,00792,Freedom Prep Elementary - Parkrose,8375,4.70015E+11,Arthur Rosenthal,Public Charter,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"778 Parkrose Road
 Memphis, TN 38109",Memphis,TN,38109,,901-538-9500,,,arthur.rosenthal@freedomprep.org
Upper Cumberland,Wilson County Private Schools,09950,Friendship Christian School,9005,,Kristi Chaffin,Private,"PS, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Wilson,Active,"5400 Coles Ferry Pike
 Lebanon, TN 37087",Lebanon,TN,37087,"5400 Coles Ferry Pike
 Lebanon, TN 37087",615-449-1573,,615-449-2769,kchaffin@friendshipchristian.org
Northwest Tennessee,Crockett County,00170,Friendship Elementary,0020,4.70085E+11,Cindy Nolen,Public,"PK, K, 1, 2, 3, 4, 5",,Crockett,Active,"6117 Highway 189
 Friendship, TN 38034-3257",Friendship,TN,38034-3257,"6117 Highway 189
 Friendship, TN 38034-3257",731-677-2718,,731-677-2331,cindy.nolen@crockettschools.net
East Tennessee,Blount County,00050,Friendsville Elementary,0055,4.7003E+11,Stan Painter,Public,"K, 1, 2, 3, 4, 5",,Blount,Active,"210 E  4th Avenue
 Friendsville, TN 37777",Friendsville,TN,37777,,865-980-1252,,865-980-1253,Stan.Painter@blountk12.org
Upper Cumberland,Jackson County,00440,Gainesboro Elementary,0025,4.70207E+11,Sonja Smallwood,Public,"PK, K, 1, 2, 3",,Jackson,Active,"611  Main  Street
 Gainesboro, TN 38562",Gainesboro,TN,38562,,931-268-9775,,,sonjasmallwood@jacksoncoschools.com
Southwest,Fayette County Private Schools,09240,Gallaway Christian Academy,9006,,Ronald Grunewald,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Fayette,Active,"377 Main Street
 Gallaway, TN 38036",Gallaway,TN,38036,,901-867-3507,,901-317-6669,gallawayministry@gmail.com
East Tennessee,Knox County Private Schools,09470,Garden Montessori,9020,,Jennifer Smith,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Knox,Active,"3225 Garden Drive
 Knoxville, TN 37918",Knoxville,TN,37918,"3225 Garden Drive
 Knoxville, TN 37918",865-688-6776,,,jensmith@gardenmontessori.org
Southwest,Memphis-Shelby County Schools,00792,Gardenview Elementary,2230,4.70015E+11,Jenae' Scottrobinson,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"4075 Hartz Dr
 Memphis, TN 38116-6018",Memphis,TN,38116-6018,,901-416-3068,,901-416-6773,scottjm@scsk12.org
Mid Cumberland,Montgomery County Private Schools,09630,Gateway Christian Academy,9949,,Josh Farmer,Private,"PK, K, 1, 2, 3, 4, 5, 6",Category IV - Church Related Schools,Montgomery,Active,"303 Fairview Lane
 Clarksville, TN 37040",Clarksville,TN,37040,,931-494-6105,,,pastorfarmergbc@yahoo.com
Southwest,Memphis-Shelby County Private Schools,09792,Gateway Christian Schools,9039,,Donna Bumgardner,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Shelby,Active,"4070 Macon Road
 Memphis, TN 38122",Memphis,TN,38122,,901-454-1606,,901-323-0914,info@gatewaychristianschools.com
Southwest,Memphis-Shelby County Schools,00792,Geeter School,2245,4.70015E+11,Jeremy Martin,Public,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Shelby,Active,"4649 Horn Lake Road
 Memphis, TN 38109",Memphis,TN,38109,,901-416-8157,,901-416-8160,martinjl1@scsk12.org
Mid Cumberland,Sumner County,00830,Gene W. Brown Elementary,0035,4.70402E+11,Keith Parrack,Public,"K, 1, 2, 3, 4, 5",,Sumner,Active,"174 Imperial Boulevard
 Hendersonville, TN 37075",Hendersonville,TN,37075,,615-824-8633,,615-264-5819,keith.parrack@sumnerschools.org
South Central,Lewis County Private Schools,09510,General Assembly Academy/CHOICE Homeschool,9035,,Debbie Landers,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category IV - Church Related Schools",Lewis,Active,"161 Baker Road
 Hohenwald, TN 38462",Hohenwald,TN,38462,,931-796-4361,,,cayers@gaahome.com
Mid Cumberland,Davidson County Private Schools,09190,Generation Changers Academy,9892,,Jeremy Hayes,Private,"K, 1, 2, 3, 4, 5",Category IV - Church Related Schools,Davidson,Active,"224 Stewarts Ferry Pike
 Nashville, TN 37214",Nashville,TN,37214,,615-818-8162,,,jeremy@gcakids.net
Mid Cumberland,Franklin Special Private Schools,09941,Generations Christian Academy,9824,,Jamie Denton,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Category IV - Church Related Schools,Williamson,Active,"408 Church Street
 Franklin, TN 37064-2638",Franklin,TN,37064-2638,,615-567-3355,,615-599-1560,jamie@generationschristian.org
Mid Cumberland,Davidson County Private Schools,09190,Genesis Learning Centers: Genesis Academy,9055,,Megan Pyle,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category I - Approved by TDOE,Davidson,Active,"430 Allied Drive
 Nashville, TN 37211",Nashville,TN,37211,,615-832-4222,,615-833-2141,mpyle@genesislearn.org
Mid Cumberland,Rutherford County Private Schools,09750,Genesis Learning Centers: Genesis Rutherford Academy,9045,,Maryellen Bucci,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category I - Approved by TDOE,Rutherford,Active,"2320 Southgate Boulevard
 Murfreesboro, TN 37128",Murfreesboro,TN,37128,,615-895-1961,,615-898-1769,mbucci@genesislearn.org
Mid Cumberland,Sumner County,00830,George A Whitten Elementary,0113,4.70402E+11,John Mann,Public,"K, 1, 2, 3, 4, 5",,Sumner,Active,"140  Scotch  Street
 Hendersonville, TN 37075",Hendersonville,TN,37075,,615-824-3258,,615-264-6556,john.mann@sumnerschools.org
First Tennessee,Kingsport,00822,George Washington Elementary School,0050,4.70219E+11,Heather Wolf,Public,"K, 1, 2, 3, 4, 5",,Sullivan,Active,"1100  Bellingham  Drive
 Kingsport, TN 37660",Kingsport,TN,37660,,423-378-2480,,423-378-2470,hwolf@k12k.com
Southwest,Memphis-Shelby County Schools,00792,Georgian Hills Elementary,0102,4.70015E+11,Eugene Lockhart,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Shelby,Active,"3930 Leweir Street
 Memphis, TN 38127",Memphis,TN,38127,,901-416-0853,,,lockhartej@scsk12.org
Southwest,Memphis-Shelby County Schools,00792,Germanshire Elementary,2258,4.70015E+11,Antuan Knapp,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"3965 South Germantown Road
 Germantown, TN 38125",Germantown,TN,38125,,901-416-3733,,901-416-3723,knappad@scsk12.org
Southwest,Memphis-Shelby County Private Schools,09792,Germantown Baptist Church Learning Center,9831,,Josh Creason/Brenda Doss,Private,"PK, K",Category IV - Church Related Schools,Shelby,Active,"9450 Poplar Avenue
 Germantown, TN 38139",Germantown,TN,38139,,901-260-5779,,901-260-5778,bdoss@germantownbaptist.org
Southwest,Memphis-Shelby County Schools,00792,Germantown Elementary,0105,4.70015E+11,Stacy Johnson,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"2730 Cross Country Dr
 Germantown, TN 38138-7102",Germantown,TN,38138-7102,,901-416-0945,,901-416-0943,johnsonss@scsk12.org
Southwest,Germantown,00796,Germantown Online Academy of Learning,0110,4.70015E+11,Heather Fisher,Public Virtual School,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Shelby,Active,"3350 S. Forest Hill Irene Road
 Germantown, TN 38138",Germantown,TN,38138,,901-757-6479,,,heather.fisher@gmsdk12.org
Southwest,Memphis-Shelby County Schools,00792,Getwell Elementary,2259,4.70015E+11,Erika Key,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"2795 Getwell Road
 Memphis, TN 38118-1849",Memphis,TN,38118-1849,,901-416-0267,,901-416-6774,keyem@scsk12.org
Mid Cumberland,Wilson County,00950,Gladeville Elementary,0010,4.70455E+11,Rachel Cook,Public,"P4, K, 1, 2, 3, 4, 5",,Wilson,Active,"8840 Stewarts Ferry Pike
 Gladeville, TN 37071",Gladeville,TN,37071,,615-444-5694,,615-449-3435,cookr@wcschools.com
Mid Cumberland,Davidson County,00190,Glencliff Elementary,0240,4.70318E+11,Mrs. Julie Hopkins,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"120  Antioch  Pike
 Nashville, TN 37211",Nashville,TN,37211,,615-333-5105,,,julie.hopkins@mnps.org
Mid Cumberland,Davidson County,00190,Glendale Elementary,0250,4.70318E+11,Jeanna Collins,Public,"P3, P4, PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"800 Thompson Avenue
 Nashville, TN 37204",Nashville,TN,37204,,615-279-7970,,,Jeanna.Collins@mnps.org
Mid Cumberland,Montgomery County,00630,Glenellen Elementary,0035,4.70303E+11,Abby Binkley,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Montgomery,Active,"825 Needmore Road
 Clarksville, TN 37040-2802",Clarksville,TN,37040-2802,,931-920-6158,,931-920-6163,abby.binkley@cmcss.net
Mid Cumberland,Davidson County,00190,Glengarry Elementary,0255,4.70318E+11,Leslie P. Gordon,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"200  Finley  Drive
 Nashville, TN 37217",Nashville,TN,37217,,615-360-2900,,,Leslie.Gordon@mnps.org
Upper Cumberland,Cumberland County,00180,Glenn Martin Elementary,0033,4.7009E+11,Christie Upchurch VanWinkle,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Cumberland,Active,"1362  Miller  Avenue
 Crossville, TN 38555",Crossville,TN,38555,"1362 Miller Avenue
 Crossville, TN 38555",931-484-7547,,931-484-8785,cupchurch@ccschools.k12tn.net
Mid Cumberland,Davidson County,00190,Glenview Elementary,0265,4.70318E+11,Dr. Marsha McGill,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"1020 Patricia Drive
 Nashville, TN 37217",Nashville,TN,37217,,615-360-2906,,,marsha.mcgill@mnps.org
East Tennessee,Oak Ridge,00012,Glenwood Elementary,0015,4.70324E+11,Virginia Boles,Public,"K, 1, 2, 3, 4",,Anderson,Active,"125 Audubon Road
 Oak Ridge, TN 37830",Oak Ridge,TN,37830,,865-425-9401,,865-425-9360,vrboles@ortn.edu
Upper Cumberland,Wilson County Private Schools,09950,Global Vision Academy,9862,,Kristen Jervis,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Wilson,Active,"2060 Old Lebanon Dirt Road
 Mt. Juliet, TN 37122",Mt. Juliet,TN,37122,,615-613-2385,,,kristen@globalvisionbc.com
Upper Cumberland,White County Private Schools,09930,Golden Mountain Academy,9002,,Emory Thompson,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,White,Active,"1950 Stewart Road
 Sparta, TN 38583",Sparta,TN,38583,,931-265-5329,,,loel@goldenmm.org
Mid Cumberland,Davidson County,00190,Gower Elementary,0280,4.70318E+11,Dr. Jenna Query,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"650 Old Hickory Boulevard
 Nashville, TN 37209",Nashville,TN,37209,,615-353-2012,,,Jenna.Query@mnps.org
